date,slug,name_kr,name_en,gender,monthly_listeners,followers,artist_id
2026-03-14,blackpink,블랙핑크,BLACKPINK,female,,58121130,41MozSoPIsD1dJM0CLPjZF
2026-03-14,aespa,에스파,aespa,female,9744545,,6YVMFz59CuY7ngCxTxjpxE
2026-03-14,twice,트와이스,TWICE,female,16779628,,7n2Ycct7Beij7Dj7meI4X0
2026-03-14,bts,방탄소년단,BTS,male,25103746,,3Nrfpe0tUJi4K4DXYWgMUX
2026-03-14,ive,아이브,IVE,female,8180182,,6RHTUrRF63xao58xh9FXYJ
2026-03-14,le-sserafim,르세라핌,LE SSERAFIM,female,14897684,,4SpbR6yFEvexJuaBpgAU5p
2026-03-14,i-dle,아이들,i-dle,female,7157570,,2AfmfGFbe0A0WsTYm0SDTx
2026-03-14,newjeans,뉴진스,NewJeans,female,13495903,,6HvZYsbFfjnjFrWF950C9d
2026-03-14,babymonster,베이비몬스터,BABYMONSTER,female,7371650,,1SIocsqdEefUTE6XKGUiVS
2026-03-14,illit,아일릿,ILLIT,female,13683294,,36cgvBn0aadzOijnjjwqMN
2026-03-14,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6250529,,4GJ6xDCF5jaUqD6avOuQT6
2026-03-14,hearts2hearts,하츠투하츠,Hearts2Hearts,female,5964748,,1ZLU77nRzQIaP23mVSYpCQ
2026-03-14,stray-kids,스트레이키즈,Stray Kids,male,10615114,,2dIgFjalVxs4ThymZ67YCE
2026-03-14,txt,투모로우바이투게더,TXT,male,6174982,,0ghlgldX5Dd6720Q3qFyQB
2026-03-14,enhypen,엔하이픈,ENHYPEN,male,9885876,,5t5FqBwTcgKTaWmfEbwQY9
2026-03-14,cortis,코르티스,CORTIS,male,7601063,,1ebt9HnXdyYA6KgLXr1n4P
2026-03-16,blackpink,블랙핑크,BLACKPINK,female,26525562,,41MozSoPIsD1dJM0CLPjZF
2026-03-16,aespa,에스파,aespa,female,9743176,,6YVMFz59CuY7ngCxTxjpxE
2026-03-16,i-dle,아이들,i-dle,female,7155046,,2AfmfGFbe0A0WsTYm0SDTx
2026-03-16,newjeans,뉴진스,NewJeans,female,13491061,,6HvZYsbFfjnjFrWF950C9d
2026-03-16,twice,트와이스,TWICE,female,16701073,,7n2Ycct7Beij7Dj7meI4X0
2026-03-16,ive,아이브,IVE,female,8135635,,6RHTUrRF63xao58xh9FXYJ
2026-03-16,babymonster,베이비몬스터,BABYMONSTER,female,7336946,,1SIocsqdEefUTE6XKGUiVS
2026-03-16,le-sserafim,르세라핌,LE SSERAFIM,female,14851189,,4SpbR6yFEvexJuaBpgAU5p
2026-03-16,illit,아일릿,ILLIT,female,13599325,,36cgvBn0aadzOijnjjwqMN
2026-03-16,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6228127,,4GJ6xDCF5jaUqD6avOuQT6
2026-03-16,hearts2hearts,하츠투하츠,Hearts2Hearts,female,6085209,,1ZLU77nRzQIaP23mVSYpCQ
2026-03-16,bts,방탄소년단,BTS,male,25140064,,3Nrfpe0tUJi4K4DXYWgMUX
2026-03-16,stray-kids,스트레이키즈,Stray Kids,male,10646098,,2dIgFjalVxs4ThymZ67YCE
2026-03-16,txt,투모로우바이투게더,TXT,male,6183260,,0ghlgldX5Dd6720Q3qFyQB
2026-03-16,enhypen,엔하이픈,ENHYPEN,male,9987695,,5t5FqBwTcgKTaWmfEbwQY9
2026-03-16,cortis,코르티스,CORTIS,male,7506775,,1ebt9HnXdyYA6KgLXr1n4P
2026-03-23,blackpink,블랙핑크,BLACKPINK,female,27145123,58309851,41MozSoPIsD1dJM0CLPjZF
2026-03-23,aespa,에스파,aespa,female,9796341,,6YVMFz59CuY7ngCxTxjpxE
2026-03-23,i-dle,아이들,i-dle,female,7120332,,2AfmfGFbe0A0WsTYm0SDTx
2026-03-23,red-velvet,레드벨벳,Red Velvet,female,5533930,,1z4g3DjTBBZKhvAroFlhOM
2026-03-23,newjeans,뉴진스,NewJeans,female,13573284,,6HvZYsbFfjnjFrWF950C9d
2026-03-23,twice,트와이스,TWICE,female,16458265,,7n2Ycct7Beij7Dj7meI4X0
2026-03-23,ive,아이브,IVE,female,8028025,,6RHTUrRF63xao58xh9FXYJ
2026-03-23,babymonster,베이비몬스터,BABYMONSTER,female,7252938,,1SIocsqdEefUTE6XKGUiVS
2026-03-23,le-sserafim,르세라핌,LE SSERAFIM,female,14672315,,4SpbR6yFEvexJuaBpgAU5p
2026-03-23,illit,아일릿,ILLIT,female,13128833,,36cgvBn0aadzOijnjjwqMN
2026-03-23,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6093818,,4GJ6xDCF5jaUqD6avOuQT6
2026-03-23,hearts2hearts,하츠투하츠,Hearts2Hearts,female,7016558,,1ZLU77nRzQIaP23mVSYpCQ
2026-03-23,bts,방탄소년단,BTS,male,28328909,,3Nrfpe0tUJi4K4DXYWgMUX
2026-03-23,stray-kids,스트레이키즈,Stray Kids,male,10641056,,2dIgFjalVxs4ThymZ67YCE
2026-03-23,txt,투모로우바이투게더,TXT,male,6198782,,0ghlgldX5Dd6720Q3qFyQB
2026-03-23,enhypen,엔하이픈,ENHYPEN,male,10198375,,5t5FqBwTcgKTaWmfEbwQY9
2026-03-23,cortis,코르티스,CORTIS,male,7266228,,1ebt9HnXdyYA6KgLXr1n4P
