shortcode,ig_handle,group_name,posted_at,snapshot_ts,hours_since_upload,likes,comments,shares,saves,views,likes_delta,comments_delta
DVvQS_zFKHM,itzy.all.in.us,ITZY,2026-03-11T18:00:00+09:00,2026-03-14T14:29:15.543539+09:00,68.5,174959,487,0,0,2025523,10331,487
DVxSuy7EjoR,itzy.all.in.us,ITZY,2026-03-12T13:00:00+09:00,2026-03-14T14:29:15.543539+09:00,49.5,106654,514,0,0,1038494,6416,514
DVxnZBKROCx,itzy.all.in.us,ITZY,2026-03-12T16:00:00+09:00,2026-03-14T14:29:15.543539+09:00,46.5,109686,367,0,0,1329829,53,367
DV0q65bkuon,itzy.all.in.us,ITZY,2026-03-13T20:30:36+09:00,2026-03-14T14:29:15.543539+09:00,18.0,57906,269,0,0,831012,3295,269
DV0zqapEhKl,itzy.all.in.us,ITZY,2026-03-13T21:48:24+09:00,2026-03-14T14:29:15.543539+09:00,16.7,135943,1154,0,0,1284093,5227,1154
DVvTr1bkw3z,we.madein.u,MADEIN,2026-03-11T18:30:00+09:00,2026-03-14T15:29:15.370500+09:00,69.0,3007,12,0,0,46402,4,12
DVvaoNLk4JN,we.madein.u,MADEIN,2026-03-11T19:30:00+09:00,2026-03-14T15:29:15.370500+09:00,68.0,5016,14,0,0,59146,4,14
DVveA-_E1Eu,we.madein.u,MADEIN,2026-03-11T20:00:00+09:00,2026-03-14T15:29:15.370500+09:00,67.5,4928,7,0,0,301152,4,7
DVx1GhwE5Zz,we.madein.u,MADEIN,2026-03-12T18:00:00+09:00,2026-03-14T15:29:15.370500+09:00,45.5,2281,15,0,0,68422,9,15
DVyCyi4EzRI,we.madein.u,MADEIN,2026-03-12T20:00:00+09:00,2026-03-14T15:29:15.370500+09:00,43.5,3576,6,0,0,72551,14,6
DVyGP4ek5TY,we.madein.u,MADEIN,2026-03-12T20:30:00+09:00,2026-03-14T15:29:15.370500+09:00,43.0,3440,25,0,0,59527,16,25
DV0Z40NEypb,we.madein.u,MADEIN,2026-03-13T18:00:00+09:00,2026-03-14T15:29:15.370500+09:00,21.5,3875,18,0,0,62347,61,18
DV0gyIsEwBU,we.madein.u,MADEIN,2026-03-13T19:00:00+09:00,2026-03-14T15:29:15.370500+09:00,20.5,2445,18,0,0,39063,28,18
DV0kMzZkxUI,we.madein.u,MADEIN,2026-03-13T19:30:00+09:00,2026-03-14T15:29:15.370500+09:00,20.0,2755,16,0,0,46149,28,16
DV2cYEIk7uz,we.madein.u,MADEIN,2026-03-14T13:00:00+09:00,2026-03-14T15:29:15.370500+09:00,2.5,1383,14,0,0,18005,273,14
DVv5hgbElYY,dragonpony_,Dragon Pony,2026-03-12T00:00:00+09:00,2026-03-14T15:29:15.370500+09:00,63.5,2503,41,0,0,31442,1,41
DVxiJ-FEqJq,dragonpony_,Dragon Pony,2026-03-12T15:12:45+09:00,2026-03-14T15:29:15.370500+09:00,48.3,1798,29,0,0,24498,1,29
DVyFqp7kXiW,dragonpony_,Dragon Pony,2026-03-12T20:28:54+09:00,2026-03-14T15:29:15.370500+09:00,43.0,2560,19,0,0,33116,3,19
DVz-ZQkkgYa,dragonpony_,Dragon Pony,2026-03-13T14:00:00+09:00,2026-03-14T15:29:15.370500+09:00,25.5,30377,444,0,0,434483,236,444
DV0AuSYEsrG,dragonpony_,Dragon Pony,2026-03-13T14:15:23+09:00,2026-03-14T15:29:15.370500+09:00,25.2,1456,8,0,0,20727,4,8
DV0ByXzErKX,dragonpony_,Dragon Pony,2026-03-13T14:30:00+09:00,2026-03-14T15:29:15.370500+09:00,25.0,1765,9,0,0,27469,7,9
